sample	caller
BS_00GG0R70	freec
BS_00GG0R70	gatk
BS_01DQH017	freec
BS_08127AYS	freec
BS_0A5H37YE	cnvkit
BS_0AK4F99X	freec
BS_0EN5R1AP	cnvkit
BS_0GKN4M3K	cnvkit
BS_0GVJJYWV	cnvkit
BS_0Q8G4N8H	freec
BS_0QTY32QA	freec
BS_0TER803R	freec
BS_0XD58YD9	cnvkit
BS_0XR7GYAV	freec
BS_0ZR4XA69	cnvkit
BS_0ZRDBX5X	cnvkit
BS_10AD3EFX	cnvkit
BS_10V9SAG8	cnvkit
BS_110K2FF7	freec
BS_164KRQJ0	freec
BS_169P1QCA	cnvkit
BS_16FT8V4B	cnvkit
BS_17AXPP1Y	cnvkit
BS_17AXPP1Y	gatk
BS_18RH1034	cnvkit
BS_18RH1034	freec
BS_196W36QM	cnvkit
BS_1AMAP96X	freec
BS_1CZPVCXR	freec
BS_1EYKDS0Z	freec
BS_1G3QX306	cnvkit
BS_1G5N5R8S	freec
BS_1GQJVG9Q	cnvkit
BS_1GQJVG9Q	freec
BS_1K6WJ1D3	cnvkit
BS_1KP6JADZ	gatk
BS_1MVG9BF0	freec
BS_1Q524P3B	cnvkit
BS_1RS20EMZ	cnvkit
BS_1SV5KG4Y	freec
BS_1YD0ZQ4R	freec
BS_2296JPP5	freec
BS_22VCR7DF	cnvkit
BS_22WVSVNE	cnvkit
BS_24VRW8WX	freec
BS_24VRW8WX	gatk
BS_25EXB29C	freec
BS_28HAR2FT	cnvkit
BS_28HAR2FT	freec
BS_29DZNQYC	freec
BS_2A3KXSK1	cnvkit
BS_2D0J8W64	cnvkit
BS_2D0J8W64	freec
BS_2EVAFHE0	freec
BS_2F5KDZ93	cnvkit
BS_2MPNPD28	cnvkit
BS_2N95EW0G	cnvkit
BS_2NPW3A08	freec
BS_2R0QBATZ	cnvkit
BS_2S36FQZR	freec
BS_2SFR8Z1P	freec
BS_2SG8JNMB	freec
BS_2X9EVKZ0	freec
BS_2Y7H85D0	cnvkit
BS_2Y7H85D0	freec
BS_30NT6PNA	freec
BS_30W58P7B	freec
BS_35DBPYMN	freec
BS_35DBPYMN	gatk
BS_38SSRZJ1	freec
BS_3CDQYJ5Q	freec
BS_3DGPSEH2	freec
BS_3DGPSEH2	gatk
BS_3GPKDE4K	cnvkit
BS_3KPKZVGX	freec
BS_3MJT93EX	cnvkit
BS_3NX3RBCX	gatk
BS_3VE9VCSN	cnvkit
BS_3XW15QAZ	freec
BS_41TD9XET	freec
BS_420TZWST	gatk
BS_429PWYRS	cnvkit
BS_42Y9E1Q8	freec
BS_4DQAQFQH	cnvkit
BS_4DQAQFQH	freec
BS_4DQAQFQH	gatk
BS_4EQ6DJVM	freec
BS_4EQ6DJVM	gatk
BS_4FKXNJHW	freec
BS_4G4PK2D4	freec
BS_4GK34NM3	freec
BS_4RX1AAVV	freec
BS_4VKRBRJC	freec
BS_4ZE1R1FW	freec
BS_4ZG27R47	cnvkit
BS_4ZG27R47	gatk
BS_5357BVCQ	cnvkit
BS_5357BVCQ	gatk
BS_55AHFCX4	cnvkit
BS_57ZNS4K5	cnvkit
BS_588QYDB1	freec
BS_58X7SKJS	cnvkit
BS_5968GBGT	cnvkit
BS_5968GBGT	freec
BS_59BAHXTQ	freec
BS_59FR1NC2	freec
BS_59FR1NC2	gatk
BS_5ACNB1BG	freec
BS_5BFNH9S6	freec
BS_5HV970K6	cnvkit
BS_5J5VH3X0	cnvkit
BS_5NAKYS1S	freec
BS_5PEA35TB	freec
BS_5V2XCW17	freec
BS_5Y3RMFEZ	freec
BS_6371MDHW	cnvkit
BS_65F8T6N7	gatk
BS_69KVWAWK	cnvkit
BS_6AENZKKA	freec
BS_6BB88NQ6	cnvkit
BS_6DC7GEYT	freec
BS_6F49F7WH	freec
