cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167	EFO_0000220	MONDO_0004967	NCIT_C3167	acute lymphoblastic leukemia	acute lymphoblastic leukemia	Acute Lymphoblastic Leukemia	True	True	True	True	True	True
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171	EFO_0000222	MONDO_0018874	NCIT_C3171	acute myeloid leukemia	acute myeloid leukemia	Acute Myeloid Leukemia	True	True	True	True	True	True
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726	EFO_1000069	MONDO_0018907	NCIT_C4726	Adamantinomatous Craniopharyngioma	craniopharyngioma	Adamantinomatous Craniopharyngioma	True	False	True	True	False	True
Adenocarcinoma	EFO_0000228	MONDO_0004970	NCIT_C2852	EFO_0000228	MONDO_0004970	NCIT_C2852	adenocarcinoma	adenocarcinoma	Adenocarcinoma	True	True	True	True	True	True
Adrenocortical Carcinoma	EFO_1000796	MONDO_0006639	NCIT_C9325	MONDO_0008734	MONDO_0008734	NCIT_C9325	adrenocortical carcinoma, hereditary	adrenocortical carcinoma, hereditary	Adrenal Cortical Carcinoma	False	False	False	False	False	True
Anaplastic Large Cell Lymphoma	EFO_0003032	MONDO_0020325	NCIT_C3720	EFO_0003032	MONDO_0020325	NCIT_C3720	anaplastic large cell lymphoma	anaplastic large cell lymphoma	Anaplastic Large Cell Lymphoma	True	True	True	True	True	True
Angiosarcoma	EFO_0003968	MONDO_0016982	NCIT_C3088	EFO_0003968	MONDO_0016982	NCIT_C3088	angiosarcoma	angiosarcoma	Angiosarcoma	True	True	True	True	True	True
Astroblastoma	MONDO_0016707	MONDO_0016707	NCIT_C4324	MONDO_0016707	MONDO_0016707	NCIT_C4324	astroblastoma	astroblastoma	Astroblastoma, MN1-Altered	True	True	False	True	True	True
Astrocytoma	EFO_0000272	MONDO_0019781	NCIT_C6958	EFO_0000272	MONDO_0003165	NCIT_C60781	astrocytoma	cerebellar astrocytoma	Astrocytoma	True	False	True	True	False	False
Atypical choroid plexus papilloma	MONDO_0002684	MONDO_0002684	NCIT_C53686	EFO_1000177	MONDO_0002684	NCIT_C53686	Choroid Plexus Papilloma	atypical choroid plexus papilloma	Atypical Choroid Plexus Papilloma	False	True	True	False	True	True
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906	EFO_1002008	MONDO_0020560	NCIT_C6906	atypical teratoid rhabdoid tumor	atypical teratoid rhabdoid tumor	Atypical Teratoid/Rhabdoid Tumor	True	True	False	True	True	True
B Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000094	MONDO_0004967	NCIT_C8644	EFO_0000094	MONDO_0003538	NCIT_C8936	B-cell acute lymphoblastic leukemia	precursor lymphoblastic lymphoma/leukemia	B Lymphoblastic Leukemia/Lymphoma	False	False	False	True	False	False
Bladder Urothelial Carcinoma	EFO_0006544	MONDO_0005611	NCIT_C39851	MONDO_0004163	MONDO_0004056	NCIT_C39851	bladder urachal urothelial carcinoma	bladder papillary urothelial carcinoma	Bladder Urothelial Carcinoma	False	False	True	False	False	True
Breast Invasive Carcinoma	EFO_1000307	MONDO_0006256	NCIT_C9245	EFO_0000186	MONDO_0003936	NCIT_C5142	invasive breast ductal carcinoma	invasive tubular breast carcinoma	Invasive Breast Cribriform Carcinoma	False	False	False	False	False	False
Burkitt Leukemia/Lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912	EFO_1000533	MONDO_0007243	NCIT_C7400	Small Intestinal Burkitt Lymphoma	Burkitt lymphoma	Burkitt Leukemia	False	False	False	False	True	False
Cavernoma	EFO_1000151	MONDO_0003155	NCIT_C3086	EFO_1000151	MONDO_0003155	NCIT_C3086	Cavernous Hemangioma	cavernous hemangioma	Cavernous Hemangioma	False	False	False	True	True	True
Central neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791	EFO_1000856	MONDO_0019134	NCIT_C3791	central neurocytoma	central neurocytoma	Central Neurocytoma	True	True	True	True	True	True
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_1000162	MONDO_0006143	NCIT_C157526	EFO_0001061	MONDO_0005131	NCIT_C157526	cervical carcinoma	cervical carcinoma	CPTAC Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma Baseline Form	False	False	False	False	False	True
Cholangiocarcinoma	EFO_0005221	MONDO_0019087	NCIT_C4436	EFO_0005221	MONDO_0019087	NCIT_C4436	cholangiocarcinoma	cholangiocarcinoma	Cholangiocarcinoma	True	True	True	True	True	True
