cancer_group	efo_code	mondo_code	ncit_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726
Adenocarcinoma	EFO_0000228	MONDO_0004970	NCIT_C2852
Adrenocortical Carcinoma	EFO_1000796	MONDO_0006639	NCIT_C9325
Anaplastic Large Cell Lymphoma	EFO_0003032	MONDO_0020325	NCIT_C3720
Angiosarcoma	EFO_0003968	MONDO_0016982	NCIT_C3088
Astroblastoma	MONDO_0016707	MONDO_0016707	NCIT_C4324
Astrocytoma	EFO_0000272	MONDO_0019781	NCIT_C6958
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906
Atypical choroid plexus papilloma	MONDO_0002684	MONDO_0002684	NCIT_C53686
B Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000094	MONDO_0004967	NCIT_C8644
Bladder Urothelial Carcinoma	EFO_0006544	MONDO_0005611	NCIT_C39851
Breast Invasive Carcinoma	EFO_1000307	MONDO_0006256	NCIT_C9245
Burkitt Leukemia/Lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912
CIC-DUX4 Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C165663
CNS Burkitt's lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912
CNS Embryonal tumor	EFO_0005784	MONDO_0018843	NCIT_C5398
CNS Melanoma	EFO_0002617	MONDO_0005191	NCIT_C133504
CNS neuroblastoma	EFO_0000621	MONDO_0006130	NCIT_C4826
Cavernoma	EFO_1000151	MONDO_0003155	NCIT_C3086
Central neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_1000162	MONDO_0006143	NCIT_C157526
Cholangiocarcinoma	EFO_0005221	MONDO_0019087	NCIT_C4436
Chondromyxoid fibroma	EFO_0000332	MONDO_0018447	NCIT_C3830
