hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	55.04462028720273	4.537568283131827e-32	2.2687841415659136e-30	TRUE
HALLMARK_ALLOGRAFT_REJECTION	2.9097167904064967	0.022498501936110048	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	21.452168347705857	6.031450873257255e-15	3.0157254366286275e-13	TRUE
HALLMARK_ANGIOGENESIS	23.977853006503686	1.8320096623430672e-16	9.160048311715335e-15	TRUE
HALLMARK_APICAL_JUNCTION	37.61161442075431	6.174717894725225e-24	3.0873589473626126e-22	TRUE
HALLMARK_APICAL_SURFACE	24.091556641904916	1.5692110902556062e-16	7.846055451278032e-15	TRUE
HALLMARK_APOPTOSIS	9.07659087597708	8.409057837609772e-7	4.204528918804886e-5	TRUE
HALLMARK_BILE_ACID_METABOLISM	60.0122932486929	3.7189586542101736e-34	1.8594793271050868e-32	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	46.1107860913148	4.503483142797703e-28	2.2517415713988517e-26	TRUE
HALLMARK_COAGULATION	23.41589698222883	3.9501618387700617e-16	1.975080919385031e-14	TRUE
HALLMARK_COMPLEMENT	11.011231633571015	3.729895364122498e-8	1.864947682061249e-6	TRUE
HALLMARK_DNA_REPAIR	46.50204953650624	2.960576945505048e-28	1.480288472752524e-26	TRUE
HALLMARK_E2F_TARGETS	10.092480222543903	1.6246061292919325e-7	8.123030646459662e-6	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	28.666724652265707	3.6540362457038436e-19	1.827018122851922e-17	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	34.96765421091753	1.4229571447051717e-22	7.114785723525859e-21	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	42.91094242544752	1.4784855763343774e-26	7.392427881671887e-25	TRUE
HALLMARK_FATTY_ACID_METABOLISM	52.90159328201138	3.851945860564144e-31	1.925972930282072e-29	TRUE
HALLMARK_G2M_CHECKPOINT	5.6503211216887435	2.399745037423516e-4	0.01199872518711758	FALSE
HALLMARK_GLYCOLYSIS	66.87282792565269	6.771909816599673e-37	3.385954908299837e-35	TRUE
HALLMARK_HEDGEHOG_SIGNALING	69.35776372931767	7.513224221952259e-38	3.7566121109761295e-36	TRUE
HALLMARK_HEME_METABOLISM	13.258163231980733	1.0885437006207444e-9	5.4427185031037224e-8	TRUE
HALLMARK_HYPOXIA	20.877572045088016	1.3556038355465282e-14	6.778019177732641e-13	TRUE
HALLMARK_IL2_STAT5_SIGNALING	4.13943441671082	0.002973953738292568	0.1486976869146284	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.212871862231855	0.30623204661294323	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	4.208997685859473	0.002649412724065747	0.13247063620328733	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.340080220189222	0.011142526679932674	0.5571263339966337	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.9328968113528684	0.10599586333411921	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	42.150566288856304	3.4454401480663604e-26	1.72272007403318e-24	TRUE
HALLMARK_KRAS_SIGNALING_UP	15.098088088563877	6.460920314585449e-11	3.2304601572927246e-9	TRUE
HALLMARK_MITOTIC_SPINDLE	13.947000814732398	3.7535404430394305e-10	1.876770221519715e-8	TRUE
HALLMARK_MTORC1_SIGNALING	22.359575441278533	1.697999347984401e-15	8.489996739922005e-14	TRUE
HALLMARK_MYC_TARGETS_V1	14.852692969018173	9.382154770088067e-11	4.691077385044033e-9	TRUE
HALLMARK_MYC_TARGETS_V2	15.507693400609938	3.475003174824933e-11	1.7375015874124664e-9	TRUE
HALLMARK_MYOGENESIS	44.47792848381388	2.638340533786928e-27	1.3191702668934638e-25	TRUE
HALLMARK_NOTCH_SIGNALING	53.89480839365288	1.4221749319997889e-31	7.110874659998944e-30	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	43.63199691116725	6.667382309051879e-27	3.3336911545259393e-25	TRUE
HALLMARK_P53_PATHWAY	18.582974021494294	3.642456903521996e-13	1.821228451760998e-11	TRUE
HALLMARK_PANCREAS_BETA_CELLS	49.3527181370034	1.460543793026466e-29	7.3027189651323305e-28	TRUE
HALLMARK_PEROXISOME	57.83222925559438	2.9845642472799423e-33	1.4922821236399711e-31	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	8.942899643761052	1.0453536163986733e-6	5.2267680819933666e-5	TRUE
HALLMARK_PROTEIN_SECRETION	28.86788382998717	2.8194927835586755e-19	1.4097463917793378e-17	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	20.930432382306773	1.2579828355090711e-14	6.289914177545355e-13	TRUE
HALLMARK_SPERMATOGENESIS	44.27183717097519	3.304544282513446e-27	1.6522721412567229e-25	TRUE
HALLMARK_TGF_BETA_SIGNALING	16.133551470689945	1.3552403520906626e-11	6.776201760453312e-10	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.156046867764833	0.002893025722056866	0.1446512861028433	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	25.39694572639532	2.6920649352595144e-17	1.3460324676297572e-15	TRUE
HALLMARK_UV_RESPONSE_DN	34.827843687684876	1.6839088129376538e-22	8.419544064688269e-21	TRUE
HALLMARK_UV_RESPONSE_UP	39.56648421749775	6.4154305583769605e-25	3.20771527918848e-23	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	34.345916640621134	3.0146185131997647e-22	1.5073092565998824e-20	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	49.36971484664304	1.4349213309915498e-29	7.174606654957749e-28	TRUE
