hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	131.0606920483173	0	0	TRUE
HALLMARK_ALLOGRAFT_REJECTION	73.55831777654751	6.428296831108877e-234	3.2141484155544386e-232	TRUE
HALLMARK_ANDROGEN_RESPONSE	50.899046085451666	2.785298397200943e-172	1.3926491986004715e-170	TRUE
HALLMARK_ANGIOGENESIS	178.0941613205414	0	0	TRUE
HALLMARK_APICAL_JUNCTION	154.17081027107554	0	0	TRUE
HALLMARK_APICAL_SURFACE	80.19683144599333	2.326207509581196e-250	1.163103754790598e-248	TRUE
HALLMARK_APOPTOSIS	57.58237004205473	1.9635347372412335e-191	9.817673686206168e-190	TRUE
HALLMARK_BILE_ACID_METABOLISM	325.2056382760141	0	0	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	140.0373453269931	0	0	TRUE
HALLMARK_COAGULATION	139.92493115662884	0	0	TRUE
HALLMARK_COMPLEMENT	68.69694660782562	1.9025696960971028e-221	9.512848480485514e-220	TRUE
HALLMARK_DNA_REPAIR	25.36306043052552	6.237659431554946e-90	3.1188297157774727e-88	TRUE
HALLMARK_E2F_TARGETS	56.0651781488129	3.66498597806723e-187	1.832492989033615e-185	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	185.4693256690983	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	166.7664942563663	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	153.46495663412907	0	0	TRUE
HALLMARK_FATTY_ACID_METABOLISM	127.36208656566106	0	0	TRUE
HALLMARK_G2M_CHECKPOINT	58.42451330935131	8.732713121165851e-194	4.366356560582926e-192	TRUE
HALLMARK_GLYCOLYSIS	151.44682183455146	0	0	TRUE
HALLMARK_HEDGEHOG_SIGNALING	230.70907223244225	0	0	TRUE
HALLMARK_HEME_METABOLISM	29.89612378875277	9.882842997214544e-106	4.941421498607272e-104	TRUE
HALLMARK_HYPOXIA	82.46785336171756	7.761080747524543e-256	3.8805403737622715e-254	TRUE
HALLMARK_IL2_STAT5_SIGNALING	45.70876640943162	8.875163615999484e-157	4.437581807999742e-155	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	49.21830064405326	2.5280554792000928e-167	1.2640277396000464e-165	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	51.67250975694782	1.5236260543262484e-174	7.618130271631242e-173	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	64.27856782738692	8.935118477205095e-210	4.467559238602548e-208	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	68.84131616742316	8.00728113774748e-222	4.00364056887374e-220	TRUE
HALLMARK_KRAS_SIGNALING_DN	147.93850586565563	0	0	TRUE
HALLMARK_KRAS_SIGNALING_UP	96.58423387774491	2.497511613677358e-288	1.2487558068386789e-286	TRUE
HALLMARK_MITOTIC_SPINDLE	16.85550194135806	8.677915957795123e-59	4.338957978897562e-57	TRUE
HALLMARK_MTORC1_SIGNALING	28.669110013812418	1.6504115778256624e-101	8.252057889128312e-100	TRUE
HALLMARK_MYC_TARGETS_V1	38.580113428271424	1.6374741704448222e-134	8.187370852224111e-133	TRUE
HALLMARK_MYC_TARGETS_V2	39.43173775795456	3.1050874699639e-137	1.55254373498195e-135	TRUE
HALLMARK_MYOGENESIS	262.2672455278144	0	0	TRUE
HALLMARK_NOTCH_SIGNALING	183.7410702571904	0	0	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	49.01008975010812	1.0497342349068629e-166	5.248671174534314e-165	TRUE
HALLMARK_P53_PATHWAY	52.01619083315033	1.5194966910595507e-175	7.5974834552977535e-174	TRUE
HALLMARK_PANCREAS_BETA_CELLS	252.1445637457979	0	0	TRUE
HALLMARK_PEROXISOME	145.54791673394777	0	0	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	8.035764560651552	8.1409295233693395e-25	4.07046476168467e-23	TRUE
HALLMARK_PROTEIN_SECRETION	59.35691247513529	2.252453167788907e-196	1.1262265838944535e-194	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	43.14757921197884	6.5178121588237855e-149	3.258906079411893e-147	TRUE
HALLMARK_SPERMATOGENESIS	88.05196818455772	5.329392081065945e-269	2.6646960405329726e-267	TRUE
HALLMARK_TGF_BETA_SIGNALING	24.872203561145668	3.459689061401798e-88	1.729844530700899e-86	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	48.102744521491196	5.3232843506060696e-164	2.661642175303035e-162	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	25.947692359745837	5.325019332052835e-92	2.6625096660264175e-90	TRUE
HALLMARK_UV_RESPONSE_DN	160.49200761605343	0	0	TRUE
HALLMARK_UV_RESPONSE_UP	57.45646875018425	4.42380749150722e-191	2.21190374575361e-189	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	40.35101658767429	3.741536202949352e-140	1.870768101474676e-138	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	226.04123076516439	0	0	TRUE
