hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	49.99474129023686	1.3392825153999064e-168	6.696412576999532e-167	TRUE
HALLMARK_ALLOGRAFT_REJECTION	52.1857715731596	6.007988190173778e-175	3.003994095086889e-173	TRUE
HALLMARK_ANDROGEN_RESPONSE	15.3880107362805	4.298087679061474e-53	2.1490438395307372e-51	TRUE
HALLMARK_ANGIOGENESIS	120.77427286499287	0	0	TRUE
HALLMARK_APICAL_JUNCTION	96.42617449924352	1.9700717616042933e-285	9.850358808021466e-284	TRUE
HALLMARK_APICAL_SURFACE	65.11149946322105	1.7033065415100176e-210	8.516532707550088e-209	TRUE
HALLMARK_APOPTOSIS	24.20843136646345	1.6475170023790015e-85	8.237585011895008e-84	TRUE
HALLMARK_BILE_ACID_METABOLISM	91.67673639812665	6.19548852516159e-275	3.097744262580795e-273	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	51.12034116441243	7.13248165863487e-172	3.566240829317435e-170	TRUE
HALLMARK_COAGULATION	120.8970155001508	0	0	TRUE
HALLMARK_COMPLEMENT	36.42343456669901	6.396377304914917e-127	3.198188652457458e-125	TRUE
HALLMARK_DNA_REPAIR	22.17317754818454	3.231895048268385e-78	1.6159475241341923e-76	TRUE
HALLMARK_E2F_TARGETS	105.25073495665164	3.1423751696486648e-304	1.5711875848243324e-302	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	121.17698493493832	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	117.51180220135612	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	103.805147237798	3.2822726196723936e-301	1.6411363098361967e-299	TRUE
HALLMARK_FATTY_ACID_METABOLISM	26.74604922539289	1.9248815191520267e-94	9.624407595760134e-93	TRUE
HALLMARK_G2M_CHECKPOINT	111.01765592144345	4.7581819e-316	2.3790909544e-314	TRUE
HALLMARK_GLYCOLYSIS	61.36814189344259	1.6119710454744397e-200	8.059855227372198e-199	TRUE
HALLMARK_HEDGEHOG_SIGNALING	186.0975719554327	0	0	TRUE
HALLMARK_HEME_METABOLISM	10.173056786186892	4.6018361926667366e-33	2.3009180963333683e-31	TRUE
HALLMARK_HYPOXIA	58.11893328687967	1.1797281233911284e-191	5.898640616955642e-190	TRUE
HALLMARK_IL2_STAT5_SIGNALING	28.70184059884272	3.3139043906917055e-101	1.6569521953458528e-99	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	30.21237256489538	2.3277496525407014e-106	1.1638748262703508e-104	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	37.177527628436415	2.3791950656537423e-129	1.189597532826871e-127	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	28.914808434082513	6.16675369770931e-102	3.083376848854655e-100	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	24.50754296433441	1.4279891647879622e-86	7.139945823939811e-85	TRUE
HALLMARK_KRAS_SIGNALING_DN	126.89461508679624	0	0	TRUE
HALLMARK_KRAS_SIGNALING_UP	57.02371215941847	1.2712482846549786e-188	6.356241423274893e-187	TRUE
HALLMARK_MITOTIC_SPINDLE	36.9561713345203	1.2249658915092578e-128	6.124829457546289e-127	TRUE
HALLMARK_MTORC1_SIGNALING	18.536617598286902	6.6579211052852116e-65	3.328960552642606e-63	TRUE
HALLMARK_MYC_TARGETS_V1	48.418054850712124	5.717173627670976e-164	2.8585868138354883e-162	TRUE
HALLMARK_MYC_TARGETS_V2	38.879354859115104	8.810051084039131e-135	4.405025542019566e-133	TRUE
HALLMARK_MYOGENESIS	216.73493354395177	0	0	TRUE
HALLMARK_NOTCH_SIGNALING	146.67015114389253	0	0	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	14.698334941803395	1.7886220561173455e-50	8.943110280586728e-49	TRUE
HALLMARK_P53_PATHWAY	35.067856441241034	1.618078594788529e-122	8.090392973942646e-121	TRUE
HALLMARK_PANCREAS_BETA_CELLS	96.14687180889558	8.020528204430981e-285	4.010264102215491e-283	TRUE
HALLMARK_PEROXISOME	31.961746064035207	2.9826294816114564e-112	1.4913147408057283e-110	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	5.700776308778573	7.753036778644248e-16	3.876518389322124e-14	TRUE
HALLMARK_PROTEIN_SECRETION	31.516098087157783	9.289450925819511e-111	4.644725462909756e-109	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	27.736149890049894	7.033344696328289e-98	3.5166723481641447e-96	TRUE
HALLMARK_SPERMATOGENESIS	67.78969693196163	1.7500740573769707e-217	8.750370286884854e-216	TRUE
HALLMARK_TGF_BETA_SIGNALING	38.30005475154443	6.1079971946869504e-133	3.053998597343475e-131	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	28.15416562978296	2.535058622831983e-99	1.2675293114159916e-97	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	15.187552953547698	2.4742443950329355e-52	1.2371221975164678e-50	TRUE
HALLMARK_UV_RESPONSE_DN	100.82227408971129	6.592721315318193e-295	3.296360657659097e-293	TRUE
HALLMARK_UV_RESPONSE_UP	17.089502474100467	1.659706375245092e-59	8.29853187622546e-58	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	80.32784153098568	1.144942389258898e-248	5.72471194629449e-247	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	93.69325199054646	2.0002704695112005e-279	1.0001352347556003e-277	TRUE
