hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	29.061944513584717	3.7127039964165495e-197	1.8563519982082748e-195	TRUE
HALLMARK_ALLOGRAFT_REJECTION	35.617982811291384	7.82224271128539e-234	3.911121355642695e-232	TRUE
HALLMARK_ANDROGEN_RESPONSE	17.808373283583638	3.932096160104322e-125	1.966048080052161e-123	TRUE
HALLMARK_ANGIOGENESIS	67.91290717434515	0	0	TRUE
HALLMARK_APICAL_JUNCTION	60.36029053266257	0	0	TRUE
HALLMARK_APICAL_SURFACE	45.514660455444044	2.1169370104671927e-283	1.0584685052335964e-281	TRUE
HALLMARK_APOPTOSIS	22.119527060434294	3.0670972153416604e-154	1.5335486076708302e-152	TRUE
HALLMARK_BILE_ACID_METABOLISM	51.56824099547046	7.2801901315037e-311	3.640095065751863e-309	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	33.76024217236557	8.782342520502803e-224	4.3911712602514015e-222	TRUE
HALLMARK_COAGULATION	69.60031964374834	0	0	TRUE
HALLMARK_COMPLEMENT	27.208506432057057	3.857224203305256e-186	1.928612101652628e-184	TRUE
HALLMARK_DNA_REPAIR	14.32634852824029	4.2806186843542956e-100	2.140309342177148e-98	TRUE
HALLMARK_E2F_TARGETS	54.61128800058053	5e-324	2.47e-322	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	73.44141995280714	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	64.44073519614402	0	0	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	57.02146223512286	0	0	TRUE
HALLMARK_FATTY_ACID_METABOLISM	20.140264083895214	3.977680847834345e-141	1.9888404239171724e-139	TRUE
HALLMARK_G2M_CHECKPOINT	59.973371495586065	0	0	TRUE
HALLMARK_GLYCOLYSIS	39.35341436265625	2.7218409750409107e-253	1.3609204875204554e-251	TRUE
HALLMARK_HEDGEHOG_SIGNALING	97.76438376191587	0	0	TRUE
HALLMARK_HEME_METABOLISM	9.183384977793843	1.4094326780383876e-60	7.047163390191938e-59	TRUE
HALLMARK_HYPOXIA	37.70509448007651	7.976794729443068e-245	3.988397364721534e-243	TRUE
HALLMARK_IL2_STAT5_SIGNALING	24.452302650182375	3.554876802682647e-169	1.7774384013413237e-167	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	23.808948688724854	4.1263292107934767e-165	2.0631646053967384e-163	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	26.302546024326507	1.2129607639705488e-180	6.0648038198527435e-179	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	23.72236824481655	1.4645518369416624e-164	7.322759184708312e-163	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	21.971580119810437	2.8355423547285246e-153	1.4177711773642623e-151	TRUE
HALLMARK_KRAS_SIGNALING_DN	63.46956797685261	0	0	TRUE
HALLMARK_KRAS_SIGNALING_UP	33.93863022846678	9.274291845740105e-225	4.637145922870052e-223	TRUE
HALLMARK_MITOTIC_SPINDLE	25.3474685604781	9.166867482698072e-175	4.583433741349036e-173	TRUE
HALLMARK_MTORC1_SIGNALING	15.422700377663528	3.9475709092498e-108	1.9737854546249e-106	TRUE
HALLMARK_MYC_TARGETS_V1	25.06169782616177	5.4691634825352414e-173	2.7345817412676206e-171	TRUE
HALLMARK_MYC_TARGETS_V2	20.57199239167593	5.05611149861957e-144	2.528055749309785e-142	TRUE
HALLMARK_MYOGENESIS	113.85521081849384	0	0	TRUE
HALLMARK_NOTCH_SIGNALING	82.8149964551532	0	0	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	10.428107374436898	2.1141376410224576e-70	1.0570688205112288e-68	TRUE
HALLMARK_P53_PATHWAY	23.94475844633588	5.676926748423914e-166	2.838463374211957e-164	TRUE
HALLMARK_PANCREAS_BETA_CELLS	52.63676595278572	1.62621124e-315	8.131056192e-314	TRUE
HALLMARK_PEROXISOME	23.559881394770212	1.5855384561904672e-163	7.927692280952336e-162	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	12.303944625485254	6.634976770928384e-85	3.317488385464192e-83	TRUE
HALLMARK_PROTEIN_SECRETION	23.754580094765856	9.13987770049044e-165	4.5699388502452196e-163	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	18.440116056571313	1.5904511836055197e-129	7.952255918027599e-128	TRUE
HALLMARK_SPERMATOGENESIS	34.08878224428915	1.4040012378380005e-225	7.020006189190002e-224	TRUE
HALLMARK_TGF_BETA_SIGNALING	24.508751576158144	1.570782278683007e-169	7.853911393415035e-168	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	21.168932464908128	5.4045544478936446e-148	2.7022772239468225e-146	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	12.291549711873612	8.248847704430252e-85	4.124423852215126e-83	TRUE
HALLMARK_UV_RESPONSE_DN	63.144230012152654	0	0	TRUE
HALLMARK_UV_RESPONSE_UP	11.853965325434695	1.8434055063400435e-81	9.217027531700217e-80	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	40.58663251184822	1.65369918790688e-259	8.2684959395344005e-258	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	52.291682256210635	5.094400655e-314	2.547200327445e-312	TRUE
