hallmark_name	contrast	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.24001584481291063	1.6353204113084274e-7	8.176602056542137e-6	TRUE	TRUE
HALLMARK_ADIPOGENESIS	Hematologic malignancy-Diffuse astrocytic and oligodendroglial tumor	-0.7570907618660656	3.652633751016765e-14	1.8263168755083825e-12	TRUE	TRUE
HALLMARK_ADIPOGENESIS	Hematologic malignancy-Embryonal tumor	-0.517074917053155	3.674838211509268e-14	1.837419105754634e-12	TRUE	TRUE
HALLMARK_ALLOGRAFT_REJECTION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.007842653182381698	0.9630454057448545	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Hematologic malignancy-Diffuse astrocytic and oligodendroglial tumor	0.08939644632838478	0.049618965701553885	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Hematologic malignancy-Embryonal tumor	0.09723909951076648	0.0026088294959095704	0.13044147479547852	TRUE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2555370477249395	5.670626780363008e-7	2.8353133901815042e-5	TRUE	TRUE
HALLMARK_ANDROGEN_RESPONSE	Hematologic malignancy-Diffuse astrocytic and oligodendroglial tumor	-0.5473970796479862	6.483702463810914e-14	3.241851231905457e-12	TRUE	TRUE
HALLMARK_ANDROGEN_RESPONSE	Hematologic malignancy-Embryonal tumor	-0.29186003192304677	3.1468750938401513e-9	1.5734375469200756e-7	TRUE	TRUE
HALLMARK_ANGIOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.0721041619837865	0.49168113045982553	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Hematologic malignancy-Diffuse astrocytic and oligodendroglial tumor	-0.5183318302406538	1.6883657805166763e-9	8.441828902583381e-8	TRUE	TRUE
HALLMARK_ANGIOGENESIS	Hematologic malignancy-Embryonal tumor	-0.5904359922244402	6.472600233564663e-14	3.2363001167823313e-12	TRUE	TRUE
HALLMARK_APICAL_JUNCTION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.017468342433161643	0.8878562365173681	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Hematologic malignancy-Diffuse astrocytic and oligodendroglial tumor	-0.4203339988686971	6.45039577307216e-14	3.2251978865360797e-12	TRUE	TRUE
