cancer_group	cohort	cell_type	molecular_subtype	n
Acute Lymphoblastic Leukemia	PPTC	B cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Macrophage M1	NA	90
Acute Lymphoblastic Leukemia	PPTC	Macrophage M2	NA	90
Acute Lymphoblastic Leukemia	PPTC	Monocyte	NA	90
Acute Lymphoblastic Leukemia	PPTC	Myeloid dendritic cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	NK cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Neutrophil	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ (non-regulatory)	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD8+	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell regulatory (Tregs)	NA	90
Acute Lymphoblastic Leukemia	PPTC	uncharacterized cell	NA	90
Acute Lymphoblastic Leukemia	TARGET	B cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Macrophage M1	NA	646
Acute Lymphoblastic Leukemia	TARGET	Macrophage M2	NA	646
Acute Lymphoblastic Leukemia	TARGET	Monocyte	NA	646
Acute Lymphoblastic Leukemia	TARGET	Myeloid dendritic cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	NK cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Neutrophil	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ (non-regulatory)	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD8+	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell regulatory (Tregs)	NA	646
Acute Lymphoblastic Leukemia	TARGET	uncharacterized cell	NA	646
Acute Myeloid Leukemia	TARGET	B cell	NA	215
Acute Myeloid Leukemia	TARGET	Macrophage M1	NA	215
Acute Myeloid Leukemia	TARGET	Macrophage M2	NA	215
Acute Myeloid Leukemia	TARGET	Monocyte	NA	215
Acute Myeloid Leukemia	TARGET	Myeloid dendritic cell	NA	215
Acute Myeloid Leukemia	TARGET	NK cell	NA	215
Acute Myeloid Leukemia	TARGET	Neutrophil	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ (non-regulatory)	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD8+	NA	215
Acute Myeloid Leukemia	TARGET	T cell regulatory (Tregs)	NA	215
Acute Myeloid Leukemia	TARGET	uncharacterized cell	NA	215
Adamantinomatous Craniopharyngioma	PBTA	B cell	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	Macrophage M1	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	Macrophage M2	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	Monocyte	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	Myeloid dendritic cell	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	NK cell	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	Neutrophil	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	T cell CD4+ (non-regulatory)	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	T cell CD8+	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	T cell regulatory (Tregs)	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	uncharacterized cell	CRANIO, ADAM	57
Alveolar soft part sarcoma	PPTC	B cell	NA	2
Alveolar soft part sarcoma	PPTC	Macrophage M1	NA	2
Alveolar soft part sarcoma	PPTC	Macrophage M2	NA	2
Alveolar soft part sarcoma	PPTC	Monocyte	NA	2
Alveolar soft part sarcoma	PPTC	Myeloid dendritic cell	NA	2
Alveolar soft part sarcoma	PPTC	NK cell	NA	2
Alveolar soft part sarcoma	PPTC	Neutrophil	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ (non-regulatory)	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD8+	NA	2
Alveolar soft part sarcoma	PPTC	T cell regulatory (Tregs)	NA	2
Alveolar soft part sarcoma	PPTC	uncharacterized cell	NA	2
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M1	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Macrophage M2	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell regulatory (Tregs)	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell regulatory (Tregs)	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell regulatory (Tregs)	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell regulatory (Tregs)	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	uncharacterized cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	uncharacterized cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	uncharacterized cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	uncharacterized cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PPTC	B cell	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	Macrophage M1	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	Macrophage M2	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	Monocyte	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	Myeloid dendritic cell	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	NK cell	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	Neutrophil	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	T cell CD4+ (non-regulatory)	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	T cell CD8+	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	T cell regulatory (Tregs)	ATRT, To be classified	6
Atypical Teratoid Rhabdoid Tumor	PPTC	uncharacterized cell	ATRT, To be classified	6
