cancer_group	cohort	cell_type	molecular_subtype	n
Acute Lymphoblastic Leukemia	PPTC	B cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	B cell memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	B cell naive	NA	90
Acute Lymphoblastic Leukemia	PPTC	B cell plasma	NA	90
Acute Lymphoblastic Leukemia	PPTC	Cancer associated fibroblast	NA	90
Acute Lymphoblastic Leukemia	PPTC	Class-switched memory B cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Common lymphoid progenitor	NA	90
Acute Lymphoblastic Leukemia	PPTC	Common myeloid progenitor	NA	90
Acute Lymphoblastic Leukemia	PPTC	Endothelial cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Eosinophil	NA	90
Acute Lymphoblastic Leukemia	PPTC	Granulocyte-monocyte progenitor	NA	90
Acute Lymphoblastic Leukemia	PPTC	Hematopoietic stem cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Macrophage	NA	90
Acute Lymphoblastic Leukemia	PPTC	Macrophage M1	NA	90
Acute Lymphoblastic Leukemia	PPTC	Macrophage M2	NA	90
Acute Lymphoblastic Leukemia	PPTC	Mast cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Monocyte	NA	90
Acute Lymphoblastic Leukemia	PPTC	Myeloid dendritic cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Myeloid dendritic cell activated	NA	90
Acute Lymphoblastic Leukemia	PPTC	NK cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	Neutrophil	NA	90
Acute Lymphoblastic Leukemia	PPTC	Plasmacytoid dendritic cell	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ (non-regulatory)	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ Th1	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ Th2	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ central memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ effector memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD4+ naive	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD8+	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD8+ central memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD8+ effector memory	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell CD8+ naive	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell NK	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell gamma delta	NA	90
Acute Lymphoblastic Leukemia	PPTC	T cell regulatory (Tregs)	NA	90
Acute Lymphoblastic Leukemia	PPTC	immune score	NA	90
Acute Lymphoblastic Leukemia	PPTC	microenvironment score	NA	90
Acute Lymphoblastic Leukemia	PPTC	stroma score	NA	90
Acute Lymphoblastic Leukemia	TARGET	B cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	B cell memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	B cell naive	NA	646
Acute Lymphoblastic Leukemia	TARGET	B cell plasma	NA	646
Acute Lymphoblastic Leukemia	TARGET	Cancer associated fibroblast	NA	646
Acute Lymphoblastic Leukemia	TARGET	Class-switched memory B cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Common lymphoid progenitor	NA	646
Acute Lymphoblastic Leukemia	TARGET	Common myeloid progenitor	NA	646
Acute Lymphoblastic Leukemia	TARGET	Endothelial cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Eosinophil	NA	646
Acute Lymphoblastic Leukemia	TARGET	Granulocyte-monocyte progenitor	NA	646
Acute Lymphoblastic Leukemia	TARGET	Hematopoietic stem cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Macrophage	NA	646
Acute Lymphoblastic Leukemia	TARGET	Macrophage M1	NA	646
Acute Lymphoblastic Leukemia	TARGET	Macrophage M2	NA	646
Acute Lymphoblastic Leukemia	TARGET	Mast cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Monocyte	NA	646
Acute Lymphoblastic Leukemia	TARGET	Myeloid dendritic cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Myeloid dendritic cell activated	NA	646
Acute Lymphoblastic Leukemia	TARGET	NK cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	Neutrophil	NA	646
Acute Lymphoblastic Leukemia	TARGET	Plasmacytoid dendritic cell	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ (non-regulatory)	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ Th1	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ Th2	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ central memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ effector memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD4+ naive	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD8+	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD8+ central memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD8+ effector memory	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell CD8+ naive	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell NK	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell gamma delta	NA	646
Acute Lymphoblastic Leukemia	TARGET	T cell regulatory (Tregs)	NA	646
Acute Lymphoblastic Leukemia	TARGET	immune score	NA	646
Acute Lymphoblastic Leukemia	TARGET	microenvironment score	NA	646
Acute Lymphoblastic Leukemia	TARGET	stroma score	NA	646
Acute Myeloid Leukemia	TARGET	B cell	NA	215
Acute Myeloid Leukemia	TARGET	B cell memory	NA	215
Acute Myeloid Leukemia	TARGET	B cell naive	NA	215
Acute Myeloid Leukemia	TARGET	B cell plasma	NA	215
Acute Myeloid Leukemia	TARGET	Cancer associated fibroblast	NA	215
Acute Myeloid Leukemia	TARGET	Class-switched memory B cell	NA	215
Acute Myeloid Leukemia	TARGET	Common lymphoid progenitor	NA	215
Acute Myeloid Leukemia	TARGET	Common myeloid progenitor	NA	215
Acute Myeloid Leukemia	TARGET	Endothelial cell	NA	215
Acute Myeloid Leukemia	TARGET	Eosinophil	NA	215
Acute Myeloid Leukemia	TARGET	Granulocyte-monocyte progenitor	NA	215
Acute Myeloid Leukemia	TARGET	Hematopoietic stem cell	NA	215
Acute Myeloid Leukemia	TARGET	Macrophage	NA	215
Acute Myeloid Leukemia	TARGET	Macrophage M1	NA	215
Acute Myeloid Leukemia	TARGET	Macrophage M2	NA	215
Acute Myeloid Leukemia	TARGET	Mast cell	NA	215
Acute Myeloid Leukemia	TARGET	Monocyte	NA	215
Acute Myeloid Leukemia	TARGET	Myeloid dendritic cell	NA	215
Acute Myeloid Leukemia	TARGET	Myeloid dendritic cell activated	NA	215
Acute Myeloid Leukemia	TARGET	NK cell	NA	215
Acute Myeloid Leukemia	TARGET	Neutrophil	NA	215
Acute Myeloid Leukemia	TARGET	Plasmacytoid dendritic cell	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ (non-regulatory)	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ Th1	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ Th2	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ central memory	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ effector memory	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ memory	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD4+ naive	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD8+	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD8+ central memory	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD8+ effector memory	NA	215
Acute Myeloid Leukemia	TARGET	T cell CD8+ naive	NA	215
Acute Myeloid Leukemia	TARGET	T cell NK	NA	215
Acute Myeloid Leukemia	TARGET	T cell gamma delta	NA	215
Acute Myeloid Leukemia	TARGET	T cell regulatory (Tregs)	NA	215
Acute Myeloid Leukemia	TARGET	immune score	NA	215
Acute Myeloid Leukemia	TARGET	microenvironment score	NA	215
Acute Myeloid Leukemia	TARGET	stroma score	NA	215
