cancer_group	cohort	cell_type	molecular_subtype	n
Medulloblastoma	PBTA	B cell	MB, Group3	60
Medulloblastoma	PBTA	B cell	MB, Group4	100
Medulloblastoma	PBTA	B cell	MB, SHH	78
Medulloblastoma	PBTA	B cell	MB, WNT	22
Medulloblastoma	PBTA	B cell memory	MB, Group3	60
Medulloblastoma	PBTA	B cell memory	MB, Group4	100
Medulloblastoma	PBTA	B cell memory	MB, SHH	78
Medulloblastoma	PBTA	B cell memory	MB, WNT	22
Medulloblastoma	PBTA	B cell naive	MB, Group3	60
Medulloblastoma	PBTA	B cell naive	MB, Group4	100
Medulloblastoma	PBTA	B cell naive	MB, SHH	78
Medulloblastoma	PBTA	B cell naive	MB, WNT	22
Medulloblastoma	PBTA	B cell plasma	MB, Group3	60
Medulloblastoma	PBTA	B cell plasma	MB, Group4	100
Medulloblastoma	PBTA	B cell plasma	MB, SHH	78
Medulloblastoma	PBTA	B cell plasma	MB, WNT	22
Medulloblastoma	PBTA	Cancer associated fibroblast	MB, Group3	60
Medulloblastoma	PBTA	Cancer associated fibroblast	MB, Group4	100
Medulloblastoma	PBTA	Cancer associated fibroblast	MB, SHH	78
Medulloblastoma	PBTA	Cancer associated fibroblast	MB, WNT	22
Medulloblastoma	PBTA	Class-switched memory B cell	MB, Group3	60
Medulloblastoma	PBTA	Class-switched memory B cell	MB, Group4	100
Medulloblastoma	PBTA	Class-switched memory B cell	MB, SHH	78
Medulloblastoma	PBTA	Class-switched memory B cell	MB, WNT	22
Medulloblastoma	PBTA	Common lymphoid progenitor	MB, Group3	60
Medulloblastoma	PBTA	Common lymphoid progenitor	MB, Group4	100
Medulloblastoma	PBTA	Common lymphoid progenitor	MB, SHH	78
Medulloblastoma	PBTA	Common lymphoid progenitor	MB, WNT	22
Medulloblastoma	PBTA	Common myeloid progenitor	MB, Group3	60
Medulloblastoma	PBTA	Common myeloid progenitor	MB, Group4	100
Medulloblastoma	PBTA	Common myeloid progenitor	MB, SHH	78
Medulloblastoma	PBTA	Common myeloid progenitor	MB, WNT	22
Medulloblastoma	PBTA	Endothelial cell	MB, Group3	60
Medulloblastoma	PBTA	Endothelial cell	MB, Group4	100
Medulloblastoma	PBTA	Endothelial cell	MB, SHH	78
Medulloblastoma	PBTA	Endothelial cell	MB, WNT	22
Medulloblastoma	PBTA	Eosinophil	MB, Group3	60
Medulloblastoma	PBTA	Eosinophil	MB, Group4	100
Medulloblastoma	PBTA	Eosinophil	MB, SHH	78
Medulloblastoma	PBTA	Eosinophil	MB, WNT	22
Medulloblastoma	PBTA	Granulocyte-monocyte progenitor	MB, Group3	60
Medulloblastoma	PBTA	Granulocyte-monocyte progenitor	MB, Group4	100
Medulloblastoma	PBTA	Granulocyte-monocyte progenitor	MB, SHH	78
Medulloblastoma	PBTA	Granulocyte-monocyte progenitor	MB, WNT	22
Medulloblastoma	PBTA	Hematopoietic stem cell	MB, Group3	60
Medulloblastoma	PBTA	Hematopoietic stem cell	MB, Group4	100
