Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Participant_ID	MYCN_TPM	MYCN_CN	MYCN_CN_status	sample_id	cohort	match_id	pathology_free_text_diagnosis
BS_00PH2T1P	BS_P10Y42BX	PAUIJR	13.05	3	gain	01	GMKF	PAUIJR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_0RBGK29M	BS_KC02E200	PASMIU	48.41	3	gain	01	GMKF	PASMIU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_0T5A16N2	BS_KHW6ASK4	PAVHWG	17.78	NA	NA	01	GMKF	PAVHWG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_0TER803R	BS_ZGKT8MMX	PAVFAP	24.21	3	loss	01	GMKF	PAVFAP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_1G3QX306	BS_FHNTKFVJ	PARZCJ	14.28	NA	NA	01	GMKF	PARZCJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_1G3QX306	TARGET-30-PARZCJ-01A-01R	PARZCJ	29.97	NA	NA	01	GMKF	PARZCJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_1G5N5R8S	BS_2Y28PRQC	PARYEH	22.31	3	loss	01	GMKF	PARYEH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_20HSXMYQ	BS_02X4QTNE	PAUIRD	27.44	NA	NA	01	GMKF	PAUIRD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_255803B6	BS_3D1XTG0K	PATSTU	4.33	NA	NA	01	GMKF	PATSTU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_25EXB29C	BS_8V59CEJJ	PATWPC	10.85	NA	NA	01	GMKF	PATWPC_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_29DZNQYC	BS_3N0ZS3G3	PARXPD	24.86	3	loss	01	GMKF	PARXPD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_29MQMSCM	BS_YZJ5YQ12	PARYAG	1.84	NA	NA	01	GMKF	PARYAG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_2ABKFT99	BS_QCDCAX7G	PAUPNR	21.78	NA	NA	01	GMKF	PAUPNR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_2N95EW0G	BS_9TKGBJH7	PASXIE	548.93	6	gain	01	GMKF	PASXIE_01_Solid Tissue_Primary Tumor	MYCN amp
BS_2N95EW0G	TARGET-30-PASXIE-01A-01R	PASXIE	1258.74	6	gain	01	GMKF	PASXIE_01_Solid Tissue_Primary Tumor	MYCN amp
BS_2NPW3A08	BS_PRF6XPXV	PAVBLT	15.15	3	gain	01	GMKF	PAVBLT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_2P6MH05V	TARGET-30-PATGLU-01A-01R	PATGLU	50.36	3	gain	01	GMKF	PATGLU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_2R0QBATZ	BS_94JMQ7MX	PAUKLK	296.15	125	amplification	01	GMKF	PAUKLK_01_Solid Tissue_Primary Tumor	MYCN amp
BS_2SFR8Z1P	BS_8T0AKNMJ	PASVXS	9.01	NA	NA	01	GMKF	PASVXS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_2X9EVKZ0	BS_6N7RPHX9	PASFKX	392.43	3	loss	01	GMKF	PASFKX_01_Solid Tissue_Primary Tumor	MYCN amp
BS_30NT6PNA	BS_6GSJCDCN	PASIIB	13.32	3	gain	01	GMKF	PASIIB_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_3564XTTK	BS_3CSY3JTN	PASNUI	407.97	647	amplification	01	GMKF	PASNUI_01_Solid Tissue_Primary Tumor	MYCN amp
BS_38SSRZJ1	BS_Y2DSNJ1E	PATLBP	14.18	NA	NA	01	GMKF	PATLBP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_3AKS23A0	BS_F2F7BXT5	PATLFX	26.59	3	gain	01	GMKF	PATLFX_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_3KPKZVGX	BS_ZKQXXTG9	PAVIZV	10.07	3	gain	01	GMKF	PAVIZV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_4GHFYCWZ	BS_QM9CBE54	PAVIAZ	1.41	NA	NA	01	GMKF	PAVIAZ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_4J8JK335	BS_H4TFY19Z	PAUJEJ	111.17	5	amplification	01	GMKF	PAUJEJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_4RX1AAVV	BS_S0B4WASX	PARTRP	16.43	NA	NA	01	GMKF	PARTRP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_4VKRBRJC	BS_F9ZXCH60	PATLSY	3.7	NA	NA	01	GMKF	PATLSY_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5ACNB1BG	BS_CN3256VE	PAULDT	27.11	3	neutral	01	GMKF	PAULDT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5BB8J64W	BS_T7MWWC0A	PAUPWN	28.78	3	gain	01	GMKF	PAUPWN_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5BFNH9S6	BS_WHX83JW2	PASFWL	34.59	3	loss	01	GMKF	PASFWL_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5CR48ZM7	BS_TGDZ491N	PAUUWG	0.83	NA	NA	01	GMKF	PAUUWG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5DXK26YF	BS_X3F8NMS4	PAUJTY	14.62	NA	NA	01	GMKF	PAUJTY_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_5QFRPR61	BS_FC37XAZK	PAUPMU	3.07	NA	NA	01	GMKF	PAUPMU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_64P50TAP	BS_CZMY8CVE	PATFIK	41.21	3	gain	01	GMKF	PATFIK_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_69KVWAWK	BS_H5RWQDCJ	PASMUB	10.97	3	gain	01	GMKF	PASMUB_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_6AENZKKA	BS_Z36F6GKX	PATVKN	11.39	NA	NA	01	GMKF	PATVKN_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_6FA0NNF1	BS_S0SM38BZ	PATNXK	23.59	NA	NA	01	GMKF	PATNXK_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_6KH6CXMH	BS_HW9CGZ29	PASLIH	20.29	NA	NA	01	GMKF	PASLIH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_76SQJSHP	BS_BW9QBKEQ	PATXTF	36.56	5	gain	01	GMKF	PATXTF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_7BJQNVK8	BS_EMBK3HHP	PAVINE	19.52	3	gain	01	GMKF	PAVINE_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_7HRQNWJY	BS_STTGK8V4	PATWPL	34.48	3	neutral	01	GMKF	PATWPL_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_7MXT22QP	BS_9R8GFR36	PASAGA	11.82	NA	NA	01	GMKF	PASAGA_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_7W42FH5A	BS_M462FWS9	PATBGF	6.68	NA	NA	01	GMKF	PATBGF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_808H2FQN	BS_ERHKS2Y7	PARUZA	0.49	NA	NA	01	GMKF	PARUZA_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_87J6X9KJ	BS_135GYQQD	PAVNLK	27.75	NA	NA	01	GMKF	PAVNLK_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_8MJNDM75	BS_MBNSCVMH	PAUXGR	6.93	NA	NA	01	GMKF	PAUXGR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_8S0EDFTP	BS_K9VNW7JD	PASSWW	9.37	NA	NA	01	GMKF	PASSWW_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_8S0EDFTP	TARGET-30-PASSWW-01A-01R	PASSWW	17.69	NA	NA	01	GMKF	PASSWW_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_92YFTG9R	BS_JY850J9G	PARYRJ	26.4	NA	NA	01	GMKF	PARYRJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_95PV1RRY	BS_SZ3EJPGV	PAVKRF	12.8	NA	NA	01	GMKF	PAVKRF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_9BZBCZHK	BS_VNKT3ZZS	PAUNTY	312.62	NA	NA	01	GMKF	PAUNTY_01_Solid Tissue_Primary Tumor	MYCN amp
BS_9CPZ5R1T	BS_RW0JJ9BQ	PASUMK	0.6	NA	NA	01	GMKF	PASUMK_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_9ND96NYZ	BS_MDEQHB6J	PASUEZ	33.28	3	neutral	01	GMKF	PASUEZ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_9PEJSEZG	BS_AYDD070S	PATPFG	22.7	3	gain	01	GMKF	PATPFG_01_Solid Tissue_Primary Tumor	MYCN non-amp
