Kids_First_Biospecimen_ID	chr19_amplification
BS_3K5MMTMR	Yes
BS_3PATZ29V	Yes
BS_4DY83R02	No
BS_5NK9RCM7	No
BS_69VS8PS1	Yes
BS_6TMPZKSZ	Yes
BS_76YE7XNX	No
BS_7M145V8M	No
BS_80X7AVCP	No
BS_9ANMMYJS	No
BS_9B28J0XC	No
BS_AHT9PKVE	No
BS_AQMKA8NC	No
BS_B73JK7T1	Yes
BS_B9V9296D	No
BS_BFDEZK1C	Yes
BS_BGFD459T	Yes
BS_F0HZ7VMV	Yes
BS_GPPREVAD	No
BS_K07KNTFY	Yes
BS_KBPBCWA0	No
BS_KJQXZ8GK	No
BS_KJTW1RBN	Yes
BS_MVQYCQMP	No
BS_P8WN8XEQ	No
BS_P9MA3S97	No
BS_PCMHH474	Yes
BS_SH9NS018	No
BS_STNH7YSX	No
BS_TF6H437Q	No
BS_VRDQTVHR	No
BS_WMXKD55A	Yes
BS_Z9NCH2XA	No
