cancer_group	molecular_subtype	n
Adamantinomatous Craniopharyngioma	CRANIO, ADAM	271
Astroblastoma	HGG, To be classified	3
Astrocytoma	HGG, To be classified	3
Atypical Teratoid Rhabdoid Tumor	ATRT, MYC	75
Atypical Teratoid Rhabdoid Tumor	ATRT, SHH	73
Atypical Teratoid Rhabdoid Tumor	ATRT, TYR	31
Atypical Teratoid Rhabdoid Tumor	ATRT, To be classified	133
CNS Embryonal tumor	CNS Embryonal, NOS	54
CNS Embryonal tumor	CNS HGNET-MN1	5
CNS neuroblastoma	CNS NB-FOXR2	10
Central neurocytoma	CNC	10
Chordoma	CHDM, To be classified	144
Chordoma	CHDM, conventional	6
Chordoma	CHDM, poorly differentiated	23
Craniopharyngioma	CRANIO, To be classified	67
Desmoplastic infantile astrocytoma and ganglioglioma	GNT, BRAF V600E	6
Desmoplastic infantile astrocytoma and ganglioglioma	GNT, RTK	6
Desmoplastic infantile astrocytoma and ganglioglioma	GNT, wildtype	4
Diffuse fibrillary astrocytoma	LGG, To be classified	1
Diffuse hemispheric glioma	DHG, H3 G35	18
Diffuse hemispheric glioma	DHG, H3 G35, TP53	80
Diffuse intrinsic pontine glioma	DMG, H3 K28, TP53	1
Diffuse intrinsic pontine glioma	HGG, To be classified	28
Diffuse leptomeningeal glioneuronal tumor	GNT, KIAA1549-BRAF	4
Diffuse leptomeningeal glioneuronal tumor	GNT, MAPK	3
Diffuse leptomeningeal glioneuronal tumor	GNT, To be classified	2
Diffuse midline glioma	DMG, H3 K28	332
Diffuse midline glioma	DMG, H3 K28, TP53	477
Embryonal tumor with multilayer rosettes	ETMR, C19MC-altered	12
Embryonal tumor with multilayer rosettes	ETMR, NOS	22
Ependymoma	EPN, MPE	41
Ependymoma	EPN, PF A	272
Ependymoma	EPN, PF B	26
Ependymoma	EPN, PF SE	1
Ependymoma	EPN, SP	18
Ependymoma	EPN, SP-MYCN	10
Ependymoma	EPN, SP-SE	1
Ependymoma	EPN, ST YAP1	18
Ependymoma	EPN, ST ZFTA	165
