Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_ZZJF26C4	0.2674781846479267	0	0	0	0.21015642767367226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08143214520672343	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07573879878066432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06520663954578451	0	0	0	0	0	0	0.06217257838875747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZX1YPQ88	0.076121395441274	0	0	0	0.141673194885282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09396093835471202	0	0	0.085920529262455	0	0	0	0	0	0	0	0	0	0.06011186454571118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19069996418618224	0	0	0	0	0	0
BS_ZV21J6YW	0.15634754472611015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09024538893480842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066486568115564	0.1520985677778576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZSH09N84	0.07836706919183137	0	0	0	0	0	0	0	0	0	0.22139704392520657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062293273498070116	0.1854253301174785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZS1QRMXS	0.20612622488796375	0	0	0	0.19280348621659685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08041108689098087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07353037272940201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07714890088958519	0	0	0	0	0	0
BS_ZR75EKKX	0.16441897792970686	0	0	0	0.19250310815793914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094458816661047093	0	0	0	0	0	0	0	0.10844146639167286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZPF89720	0.07827969758156053	0	0	0	0.1736363047693976	0	0	0	0	0	0.13341121985829035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09454045952825575	0	0	0.20673050857337447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZP89F1JY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1797139668418666	0	0	0.330843291269752	0	0	0.07236690879652716	0	0	0	0.07796844842863541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZKZACPVV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10423950818921113	0	0	0	0	0	0	0	0	0	0	0.08482780108101834	0	0	0	0	0	0	0	0	0.16472596318807706	0	0	0.20034454964734735	0	0	0	0	0	0	0.17379536717731256	0	0	0	0	0	0	0	0.1720587068489605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZKFEMJZ8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06508030423724775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18119682668201118	0	0.10301388997827018	0.292795610478324	0	0	0	0	0	0	0.09457255982665279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZJZFT0AJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06203566246810574	0	0	0	0	0	0	0	0.06372725042901024	0	0.20272350424821073	0	0	0	0	0	0.09653437174304279	0	0	0	0	0	0	0	0	0.07327151231155223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZJT1REVB	0	0	0.060753025007999055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13501688790571295	0	0	0	0	0	0	0	0	0.08707597475249208	0	0	0	0	0.06870492422758845	0	0	0	0	0	0	0	0.19576184271616787	0	0	0	0	0	0	0	0	0	0	0.10900335474703293	0	0	0	0.08662986473447754	0	0	0	0	0	0	0	0	0	0
BS_ZJSMC22A	0	0	0	0	0.3139380057951359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15483102579279126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZHJFX6C9	0	0	0	0	0	0	0	0	0	0	0.09613721491270623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20620195402642885	0	0	0	0	0	0	0.06085366885940478	0	0	0	0	0	0	0.08948797632896413	0	0	0	0	0.07543787348853238	0	0	0	0	0	0.06739753697228765	0	0	0	0	0	0	0	0	0	0	0	0.09755539637264876	0	0	0	0	0	0	0	0	0	0
BS_ZH6PC8KM	0.19183823418400806	0	0	0	0.3298692310776803	0	0	0	0	0	0.10976258749355036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07981902261199299	0	0	0	0	0	0
BS_ZECKZTFC	0.1848893859631857	0	0	0	0.20220789857196564	0	0	0	0	0	0.06893809608290956	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08570162576741532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZCY4ECNV	0.0929552879602107	0	0	0	0	0	0	0	0	0	0.28756756865372524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19122224711392222	0	0	0	0.06041979128636111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZBWQG7VR	0.16073126741471058	0	0	0	0.30847425485059454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06324718840875068	0	0.08143290322602761	0	0.07656611937200633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZAT0XJE5	0.19506602401370457	0	0	0	0	0	0	0	0	0	0.08272785148852332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1649383333048825	0	0	0	0	0	0	0	0	0	0.0713631035568981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZAH4FHV2	0.06477311472747162	0	0	0	0.23878446686702812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12641140446848254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
