Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_7KR13R3P	0	0.09667489473348372	0.3712871906401409	0	0	0	0	0	0	0	0	0	0	0.0809958174238325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11994324627478263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12278124437980231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14501491113868484	0	0	0	0	0	0	0	0
BS_ZV7AC5R8	0.20248925547322288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11038251557241509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1253363445998284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32985506200553233	0	0	0	0	0	0	0	0
BS_ZSH09N84	0.08038049661229384	0	0.4093636401100133	0	0.14715372231608614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07202238741397833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09372510165948955	0	0	0	0	0	0	0	0	0	0
BS_Z8GRJ71M	0	0	0	0	0.17682045237704566	0	0	0	0	0	0	0.1220870583721368	0	0	0	0	0	0	0	0	0.12361423725875316	0	0	0	0	0	0	0	0	0	0	0.14398575739252278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346179420404541	0	0	0	0	0	0	0	0
BS_Z64NEPNE	0.09004653126717722	0	0.17870640673962823	0	0.3779178090902225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08404675829991176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z61JVJ03	0.14918605404148053	0	0	0	0	0	0	0	0	0	0	0	0	0.0685563736097611	0	0	0	0	0	0	0.3456231489078846	0	0	0	0	0	0	0.08418765674493037	0	0	0	0.16147511554615424	0	0	0	0	0.09043716695640919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z3AB3KMP	0.06114220568379502	0	0.32429958300049916	0	0.16954724676751665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08263606833603475	0	0	0	0	0	0	0.09953533248315623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YZD4SSMA	0	0	0.3175760799805551	0	0.2203494655103115	0	0	0	0	0	0	0.0904652500430096	0	0	0	0	0	0	0	0	0	0	0	0	0.17731468675824438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YHXMYDBN	0.10467139898524012	0	0.20697198258852378	0	0.2320919867079114	0	0	0	0	0	0	0.06679997330821559	0	0	0	0	0	0	0	0	0	0	0	0	0.08384714564240116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10319676297931883	0	0	0	0	0	0	0	0	0	0
BS_YGDHJ68W	0.24264970739750094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06533988431637118	0	0	0	0	0	0	0	0	0	0.12166582625944515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3725776111136934	0	0	0	0	0	0	0	0
