Kids_First_Biospecimen_ID	Signature.1A	Signature.1B	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.R1	Signature.R2	Signature.R3	Signature.U1	Signature.U2
BS_ZZJF26C4	0.5391496859454376	0	0	0	0	0	0	0	0.3272787957053432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZX1YPQ88	0.18331005696996297	0	0	0.3123239818791831	0	0.23837719624825493	0	0	0.09459343026123139	0	0	0	0	0	0	0	0	0	0	0.06895146562770522	0	0	0	0	0	0	0
BS_ZV21J6YW	0.2538263579061366	0.10955660107857805	0	0.17663517795870953	0	0	0	0	0.30965084401986476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZSH09N84	0.1384838830795578	0	0	0.2475258145587788	0	0	0	0	0.34464634993131715	0	0	0	0	0.0734247733861438	0	0	0	0	0	0	0	0	0	0	0.07162610198465653	0	0
BS_ZS1QRMXS	0.45869280558285036	0	0	0.0679172666746672	0	0	0	0	0.20198620899004938	0.0674786019824053	0	0	0	0	0	0	0.07481202927462387	0	0	0	0	0	0	0	0	0	0
BS_ZR75EKKX	0.2808839583675306	0.16966608002964093	0	0.0700242855736382	0	0	0	0	0.3416053364988303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZPF89720	0.143370542599563	0	0	0.21764564876640477	0	0.1817584674270989	0	0	0.15258401626321497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06385484942687868	0.120374778167935
BS_ZP89F1JY	0	0	0	0.15170438724912352	0	0	0	0	0	0.358726934222328	0	0	0	0	0	0	0	0.08347748352225783	0	0	0	0	0	0	0	0	0.3374671108302041
BS_ZKZACPVV	0	0	0	0	0	0	0	0	0	0.463667102660411	0	0	0	0	0	0	0	0.16317953835875387	0	0	0	0	0.11056665073510535	0	0	0	0.2067253652457301
BS_ZKFEMJZ8	0.06682542267120263	0	0	0.33504239672830993	0	0	0.09186302256678947	0	0.11402629025146846	0.182780797852671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19586978678634137	0
BS_ZJZFT0AJ	0.08821052192743492	0	0	0	0.13097647548051483	0.3554714961877605	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06915038916298484	0	0.0806052710662147	0	0	0.07655768519365348	0.08378304713613605	0
BS_ZJT1REVB	0	0	0	0	0	0	0	0	0.4642730146693758	0.15323935406845188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14616589156901336
BS_ZJSMC22A	0	0.08437458953750007	0	0.17397450475798132	0	0.2790103520145075	0	0	0	0.07042418690280702	0	0	0	0	0	0	0.09815064348788831	0	0	0	0	0	0	0	0	0	0.20156387358431857
BS_ZHJFX6C9	0.1240730693198233	0	0	0.20621282938080063	0	0.1933193594786249	0	0	0.3039995101577068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZH6PC8KM	0.3557847340849177	0.14661923750017702	0	0.1194347983748124	0	0.06506796440853446	0	0	0.268319503389656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZECKZTFC	0.39415271923808015	0.08676013541464983	0	0	0	0	0	0	0.3250073026868982	0	0	0	0	0	0	0.08130193637069881	0	0	0	0	0	0	0	0	0	0	0
BS_ZCY4ECNV	0.11226631346780651	0.07787848358157566	0	0.21487953318615305	0	0	0	0	0.5034039189372963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZBWQG7VR	0.37530444068934066	0	0	0.30677617578881855	0	0	0	0	0	0.06307862345308694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15251378754060016	0
BS_ZAT0XJE5	0.4107017034108823	0	0	0	0	0	0	0	0.2509919648214745	0.08818296342946716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1382310957633381	0
BS_ZAH4FHV2	0.07764681729364772	0.10312685299785053	0	0.10454632597141107	0	0.17257843289223967	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35457625679654164	0	0	0	0	0	0.060569289275291226	0
BS_Z9PKZ4RT	0.2703112550697351	0.06426598724319557	0	0.2518325159491461	0	0	0	0	0	0.17676301276763834	0	0	0	0	0	0	0.06707755044107405	0	0	0	0	0	0	0	0	0	0.12177558066535014
BS_Z9NCH2XA	0.21143281737548114	0	0	0.17665455528975552	0	0	0	0	0.3621818272599525	0	0	0	0	0	0	0	0.06491875100338132	0	0	0	0	0	0	0	0	0	0.08967172023052443
BS_Z8GRJ71M	0.20420615940638973	0	0	0	0.24628834431084298	0	0.21648864463888093	0	0	0	0	0	0	0	0	0	0	0.10513433496648868	0	0	0	0	0	0	0.13049282570264834	0	0
BS_Z7R92XX6	0.07479061041863232	0	0.14584894478412835	0	0	0	0	0	0.18251182038677077	0	0	0	0	0	0	0	0	0	0	0.2406146973721501	0	0	0	0	0	0.07162378317285979	0.1279107661260547
BS_Z61JVJ03	0.4584770635063827	0	0	0	0	0	0	0.10682587190089864	0	0	0	0	0	0	0	0.34121627992036474	0	0	0	0	0	0	0	0	0	0	0
