Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_MB5K2C19	0	0	0.26521844833580244	0	0.2718678534498761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1473056772262326	0	0	0	0	0	0	0	0.10166205556305986	0	0	0	0	0	0.0640978711562953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_N88EQK8Z	0	0	0.3039442588559222	0	0.23096500218310947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1289708108115525	0	0	0	0	0	0	0	0.11011416166371782	0	0	0	0	0	0.07406835263480034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_46TXYD8H	0	0	0.23721279469585924	0	0.40082463741000385	0	0	0	0	0	0	0	0	0	0	0.07041650738338862	0	0	0	0	0	0	0	0	0.14334706616019038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_4QH8B0VS	0	0	0.2483404445977874	0	0.3471726882004614	0	0	0	0	0	0	0.07042743762766647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06255670713504226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_M28HG0NT	0	0	0.3505302901967364	0	0.3580728217009449	0	0	0	0	0	0	0	0	0	0	0.11627805318364498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_RM13B4YN	0	0	0.28094373208703527	0	0.39067985624810564	0	0	0	0	0	0	0	0	0	0	0.07323356349394447	0	0	0	0	0	0	0	0	0.06752722609442449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_T7WMJ08W	0	0	0.2535000375956918	0	0.5185814623889462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09861458762598285	0	0	0	0	0	0	0	0	0	0
BS_96S0VQBN	0	0	0.2737614358477695	0	0.40328597848280856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZN35MFSR	0	0	0.23313255750122105	0	0.4750438133113473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_GMVP7K9F	0	0	0.3275886087474333	0	0.3069680363006237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07393792356369247	0	0	0	0	0	0	0	0.06885635604962949	0	0	0	0	0	0.06716184403447824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_F064HMTP	0	0	0.19906939366612209	0	0.532124762318088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06286597448373861	0	0	0	0	0	0	0	0	0	0
BS_CKX0QTD6	0	0	0.2055828608159027	0	0.5619021806900817	0	0	0	0	0	0	0	0	0	0	0.07032903816819375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
