Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_JTNTWJMD	0.09029514081485863	0	0.23191702824996224	0	0.24806334988171572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08592601807314666	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10020619376860447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09987390397093887	0	0	0	0	0	0	0	0	0	0
BS_A9Q65W4Q	0	0	0.16802639297791036	0	0.5374173808076752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06940369646637011	0	0	0	0	0	0	0	0	0	0
BS_4Z3H3JP7	0	0	0	0	0.4101418030852169	0.12187504581945476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06428369591884116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1159012505652681	0	0	0	0	0	0	0	0
BS_6RQTPACW	0.06465745337513339	0	0.24896556016253282	0	0.3130164383310293	0	0	0	0	0	0	0.08241771917755779	0	0	0	0	0	0	0	0	0.062395225554994695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13010342550276516	0	0	0	0	0	0	0	0	0
BS_F6VH35JY	0	0	0.07744237657033821	0	0.433980437867555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1908515032686498	0	0	0	0.09105753746905229	0	0	0	0	0	0	0	0	0	0	0	0	0.076682055066138885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_G2NSPNKD	0	0	0.521628589855315	0	0	0.08028736531210048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06365955921263612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09053573093502744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YW6RK7MJ	0	0	0	0	0.35845867521639513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06754641630426793	0	0	0	0.12412548139471136	0	0	0	0	0	0	0.10837006267699978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07462728769229275	0	0.06232831161334544	0	0	0	0	0	0	0	0	0
BS_J0MSENGZ	0	0	0.3768405950670442	0	0.23528509084111665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07539805551157816	0	0	0	0	0	0	0	0	0.11246782823514533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_EVYV74CP	0	0	0	0	0.41721884418097144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903159206726725	0	0	0	0	0	0.09881791581926312	0	0	0	0	0	0.06406867265010835	0	0	0	0	0	0	0	0	0	0	0	0	0.1551454483822861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_02QV7ZWP	0	0	0.1083368608174069	0	0	0.0794332619234218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438947471805895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37328240545327634	0	0	0	0	0	0	0	0
BS_05CHNS17	0	0	0	0	0.340044080159614	0.2767543802955228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1438913885503182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12119697862802119	0	0	0	0	0
