Kids_First_Biospecimen_ID	Signature.1A	Signature.1B	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.R1	Signature.R2	Signature.R3	Signature.U1	Signature.U2
BS_7KR13R3P	0	0	0.12229051339662951	0	0.347445086777403	0	0.26516871975751766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26509565963775655	0	0
BS_ZV7AC5R8	0.7885553358880583	0	0	0	0	0	0	0	0	0	0	0.061614266810047065	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09899730835404116	0
BS_ZSH09N84	0.14699436316376036	0	0	0.24406008987523295	0	0	0	0	0.31596353532777033	0	0	0	0	0.06772599546603085	0	0	0.07889988603598516	0	0	0	0	0	0	0	0.06792754117481424	0	0.06406387662536488
BS_Z8GRJ71M	0.2191269043079385	0	0	0	0.2622146286309803	0	0.24116702724520075	0	0	0	0	0	0	0	0	0	0	0.10329791820357491	0	0	0	0	0	0	0.11352683474955712	0	0
BS_Z64NEPNE	0.1953898456286856	0	0	0	0	0.5380665621740838	0	0	0	0	0	0	0	0	0	0	0.07274772800232994	0	0	0	0	0	0	0	0	0.06272518633350159	0
BS_Z61JVJ03	0.4525278265898994	0	0	0	0	0	0	0.10773344860263673	0	0.06315839736818699	0	0	0	0	0	0.33813723594716744	0	0	0	0	0	0	0	0	0	0	0
BS_Z3AB3KMP	0.12468086300556434	0	0	0.20549170721406626	0	0.23536927196851304	0	0	0.26093849070631786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YZD4SSMA	0	0	0	0.08711112077859062	0	0	0	0	0.2557562414084229	0.138243888210418	0	0	0.10310902462490891	0	0	0	0	0	0.11089272367877062	0	0	0	0	0	0	0	0.222188048127889
BS_YHXMYDBN	0.12315907419759022	0.1743071839513926	0	0.060968765713661464	0	0	0	0	0.33589696050218404	0.12614024119265926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YGDHJ68W	0.8136983501496078	0	0.07486330127647148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09586810346186087	0	0	0	0
