Kids_First_Biospecimen_ID	bed_to_use
BS_6RQTPACW	20038D-17Q6-01.regions.100bp_padded.bed
BS_F6VH35JY	20038D-17Q6-01.regions.100bp_padded.bed
BS_G2NSPNKD	20038D-17Q6-01.regions.100bp_padded.bed
BS_YW6RK7MJ	20038D-17Q6-01.regions.100bp_padded.bed
BS_J0MSENGZ	20038D-17Q6-01.regions.100bp_padded.bed
BS_EVYV74CP	20038D-17Q6-01.regions.100bp_padded.bed
BS_4Z3H3JP7	20038D-17Q6-01.regions.100bp_padded.bed
BS_N9KWJSW0	agilent-v4-targets-ucsc.100bp_padded.bed
BS_AVXJSWEN	agilent-v4-targets-ucsc.100bp_padded.bed
BS_HJBRXJSN	agilent-v4-targets-ucsc.100bp_padded.bed
BS_SA5103V5	agilent-v4-targets-ucsc.100bp_padded.bed
BS_Q2NRNKNR	agilent-v4-targets-ucsc.100bp_padded.bed
BS_XE9D080R	agilent-v4-targets-ucsc.100bp_padded.bed
BS_K2SBQ588	agilent-v4-targets-ucsc.100bp_padded.bed
BS_0Q2X74YN	agilent-v4-targets-ucsc.100bp_padded.bed
BS_2RKFDHEG	agilent-v4-targets-ucsc.100bp_padded.bed
BS_1V616KKY	agilent-v4-targets-ucsc.100bp_padded.bed
BS_Z4JW5FGH	agilent-v4-targets-ucsc.100bp_padded.bed
BS_XBP9MG30	agilent-v4-targets-ucsc.100bp_padded.bed
BS_KS1Q0JMA	agilent-v4-targets-ucsc.100bp_padded.bed
BS_8RC93BGZ	agilent-v4-targets-ucsc.100bp_padded.bed
BS_QRTBPSN6	agilent-v4-targets-ucsc.100bp_padded.bed
BS_QF0WQY17	agilent-v4-targets-ucsc.100bp_padded.bed
BS_KMKE92Z2	agilent-v4-targets-ucsc.100bp_padded.bed
BS_J4X5M7X8	agilent-v4-targets-ucsc.100bp_padded.bed
BS_W03RS5G8	agilent-v4-targets-ucsc.100bp_padded.bed
BS_P2TV4ZF8	agilent-v4-targets-ucsc.100bp_padded.bed
BS_93WDWT81	agilent-v4-targets-ucsc.100bp_padded.bed
BS_02QV7ZWP	ashion_exome_v2_targets_hg38_padded100.bed
BS_05CHNS17	ashion_exome_v2_targets_hg38_padded100.bed
BS_0TKQP4XJ	ashion_exome_v2_targets_hg38_padded100.bed
BS_13DJ6WHW	ashion_exome_v2_targets_hg38_padded100.bed
BS_1B00Q25Y	ashion_exome_v2_targets_hg38_padded100.bed
BS_1SDWBXX8	ashion_exome_v2_targets_hg38_padded100.bed
BS_35DRDAFV	ashion_exome_v2_targets_hg38_padded100.bed
BS_53JGYCCZ	ashion_exome_v2_targets_hg38_padded100.bed
BS_5XC635HW	ashion_exome_v2_targets_hg38_padded100.bed
BS_5YTKXXBY	ashion_exome_v2_targets_hg38_padded100.bed
BS_DD69EB5S	ashion_exome_v2_targets_hg38_padded100.bed
BS_F6YJDSXZ	ashion_exome_v2_targets_hg38_padded100.bed
BS_HF1TR0QN	ashion_exome_v2_targets_hg38_padded100.bed
BS_HGKDT5AJ	ashion_exome_v2_targets_hg38_padded100.bed
BS_PCVV9GJG	ashion_exome_v2_targets_hg38_padded100.bed
BS_W60PB1DS	ashion_exome_v2_targets_hg38_padded100.bed
BS_YGDHJ68W	ashion_exome_v2_targets_hg38_padded100.bed
BS_3DV5FVPQ	ashion_exome_v2_targets_hg38_padded100.bed
BS_AG4BP2PM	ashion_exome_v2_targets_hg38_padded100.bed
BS_AMKQKHJ6	ashion_exome_v2_targets_hg38_padded100.bed
BS_AN55105E	ashion_exome_v2_targets_hg38_padded100.bed
BS_BTDQZ60Q	ashion_exome_v2_targets_hg38_padded100.bed
BS_C5M87D60	ashion_exome_v2_targets_hg38_padded100.bed
BS_GBXD55F1	ashion_exome_v2_targets_hg38_padded100.bed
BS_GJ2KS7BT	ashion_exome_v2_targets_hg38_padded100.bed
BS_GQFPB8F3	ashion_exome_v2_targets_hg38_padded100.bed
BS_HSXARQ1K	ashion_exome_v2_targets_hg38_padded100.bed
BS_PZ5WX9TX	ashion_exome_v2_targets_hg38_padded100.bed
BS_QJHY513X	ashion_exome_v2_targets_hg38_padded100.bed
BS_S3DSBR9Y	ashion_exome_v2_targets_hg38_padded100.bed
BS_ST7KGV85	ashion_exome_v2_targets_hg38_padded100.bed
BS_VS3R7XVV	ashion_exome_v2_targets_hg38_padded100.bed
BS_XHRV3SAK	ashion_exome_v2_targets_hg38_padded100.bed
BS_ZV7AC5R8	ashion_exome_v2_targets_hg38_padded100.bed
BS_007JTNB8	intersect_strelka_mutect2_vardict_WGS.bed
BS_00DBDSHZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_00GG0R70	intersect_strelka_mutect2_vardict_WGS.bed
BS_00JRW8F2	intersect_strelka_mutect2_vardict_WGS.bed
BS_00PH2T1P	intersect_strelka_mutect2_vardict_WGS.bed
BS_00TRPEQX	intersect_strelka_mutect2_vardict_WGS.bed
BS_01BDZ0TW	intersect_strelka_mutect2_vardict_WGS.bed
BS_01DCRKR1	intersect_strelka_mutect2_vardict_WGS.bed
BS_01DQH017	intersect_strelka_mutect2_vardict_WGS.bed
BS_01Y5F4PN	intersect_strelka_mutect2_vardict_WGS.bed
BS_02VZJ0QK	intersect_strelka_mutect2_vardict_WGS.bed
BS_02W5H7K5	intersect_strelka_mutect2_vardict_WGS.bed
BS_02YBZSBY	intersect_strelka_mutect2_vardict_WGS.bed
BS_02ZSVZCB	intersect_strelka_mutect2_vardict_WGS.bed
BS_03SSN1N2	intersect_strelka_mutect2_vardict_WGS.bed
BS_042DVDQM	intersect_strelka_mutect2_vardict_WGS.bed
BS_04B8X54S	intersect_strelka_mutect2_vardict_WGS.bed
BS_04KM3N3S	intersect_strelka_mutect2_vardict_WGS.bed
BS_05S9WJW6	intersect_strelka_mutect2_vardict_WGS.bed
BS_060QB7XB	intersect_strelka_mutect2_vardict_WGS.bed
BS_06GEF6DB	intersect_strelka_mutect2_vardict_WGS.bed
BS_06GPPDHZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_08127AYS	intersect_strelka_mutect2_vardict_WGS.bed
BS_083RF2ZE	intersect_strelka_mutect2_vardict_WGS.bed
BS_08E29S8P	intersect_strelka_mutect2_vardict_WGS.bed
BS_08R73HQ3	intersect_strelka_mutect2_vardict_WGS.bed
BS_090GV72Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_0A5H37YE	intersect_strelka_mutect2_vardict_WGS.bed
BS_0A5Z5YKD	intersect_strelka_mutect2_vardict_WGS.bed
BS_0AK4F99X	intersect_strelka_mutect2_vardict_WGS.bed
BS_0ATJ22QA	intersect_strelka_mutect2_vardict_WGS.bed
BS_0DKPGQWD	intersect_strelka_mutect2_vardict_WGS.bed
BS_0E8WBZBF	intersect_strelka_mutect2_vardict_WGS.bed
BS_0EN5R1AP	intersect_strelka_mutect2_vardict_WGS.bed
BS_0FQKT8EY	intersect_strelka_mutect2_vardict_WGS.bed
BS_0G54B21P	intersect_strelka_mutect2_vardict_WGS.bed
BS_0GKN4M3K	intersect_strelka_mutect2_vardict_WGS.bed
BS_0GVJJYWV	intersect_strelka_mutect2_vardict_WGS.bed
BS_0J390AHD	intersect_strelka_mutect2_vardict_WGS.bed
BS_0J57HJ1S	intersect_strelka_mutect2_vardict_WGS.bed
BS_0J5GC803	intersect_strelka_mutect2_vardict_WGS.bed
BS_0J5MCBZV	intersect_strelka_mutect2_vardict_WGS.bed
BS_0KP6JYPD	intersect_strelka_mutect2_vardict_WGS.bed
BS_0MCY93CV	intersect_strelka_mutect2_vardict_WGS.bed
BS_0ND04J2B	intersect_strelka_mutect2_vardict_WGS.bed
BS_0NGRECX0	intersect_strelka_mutect2_vardict_WGS.bed
BS_0NNHVKW8	intersect_strelka_mutect2_vardict_WGS.bed
BS_0NNV9QAF	intersect_strelka_mutect2_vardict_WGS.bed
BS_0PNVPY23	intersect_strelka_mutect2_vardict_WGS.bed
BS_0Q7HKPD2	intersect_strelka_mutect2_vardict_WGS.bed
BS_0Q8G4N8H	intersect_strelka_mutect2_vardict_WGS.bed
BS_0QEBZX3M	intersect_strelka_mutect2_vardict_WGS.bed
BS_0QESMKKG	intersect_strelka_mutect2_vardict_WGS.bed
BS_0QTY32QA	intersect_strelka_mutect2_vardict_WGS.bed
BS_0RBGK29M	intersect_strelka_mutect2_vardict_WGS.bed
BS_0RF0G9SQ	intersect_strelka_mutect2_vardict_WGS.bed
