harmonized_diagnosis	count	percent
Breast Invasive Carcinoma	1088	7.87%
Kidney Renal Clear Cell Carcinoma	527	3.81%
Lung Adenocarcinoma	510	3.69%
Brain Lower Grade Glioma	509	3.68%
Thyroid Carcinoma	501	3.63%
Head and Neck Squamous Cell Carcinoma	498	3.6%
Lung Squamous Cell Carcinoma	498	3.6%
Neuroblastoma	494	3.58%
Prostate Adenocarcinoma	494	3.58%
Cutaneous Melanoma	465	3.37%
Bladder Urothelial Carcinoma	405	2.93%
Ovarian Serous Cystadenocarcinoma	375	2.71%
Stomach Adenocarcinoma	373	2.7%
Hepatocellular Carcinoma	369	2.67%
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	304	2.2%
Colon Adenocarcinoma	288	2.08%
Kidney Renal Papillary Cell Carcinoma	286	2.07%
Sarcoma	283	2.05%
Low-grade glioma, KIAA1549-BRAF	242	1.75%
Neuroblastoma, MYCN non-amplified	241	1.74%
Diffuse midline glioma, H3 K28-altered	235	1.7%
Neuroblastoma, MYCN-amplified	202	1.46%
High-grade glioma, IDH-wildtype and H3-wildtype	182	1.32%
Uterine Corpus Endometrial Carcinoma	178	1.29%
Pancreatic Adenocarcinoma	177	1.28%
Pheochromocytoma and Paraganglioma	177	1.28%
Glioblastoma Multiforme	159	1.15%
Esophageal Carcinoma	158	1.14%
Testicular Germ Cell Tumor	148	1.07%
Wilms tumor	128	0.93%
Thymoma	118	0.85%
Medulloblastoma, group 4	112	0.81%
Glioblastoma	99	0.72%
High-grade glioma/astrocytoma (WHO grade III/IV)	95	0.69%
Rectum Adenocarcinoma	92	0.67%
Ependymoma	91	0.66%
Osteosarcoma	89	0.64%
Mesothelioma	86	0.62%
Posterior fossa group A (PFA) ependymoma	85	0.62%
Adamantinomatous craniopharyngioma	79	0.57%
Uveal Melanoma	79	0.57%
Adrenocortical Carcinoma	77	0.56%
Pilocytic astrocytoma	71	0.51%
Medulloblastoma, SHH-activated	67	0.48%
Medulloblastoma, group 3	66	0.48%
Kidney Chromophobe	65	0.47%
Oligodendroglioma	65	0.47%
Rhabdoid tumor of the kidney	64	0.46%
Low-grade glioma/astrocytoma (WHO grade I/II)	62	0.45%
Dysembryoplastic neuroepithelial tumor (DNET)	57	0.41%
Low-grade glioma, wildtype	56	0.41%
Uterine Carcinosarcoma	56	0.41%
Supratentorial ependymoma, ZFTA fusion-positive	55	0.4%
Low-grade glioma, BRAF V600E	52	0.38%
Schwannoma	48	0.35%
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	47	0.34%
Ganglioneuroblastoma, MYCN non-amplified	45	0.33%
Meningioma	45	0.33%
Choroid plexus papilloma	37	0.27%
Ganglioneuroblastoma, nodular	36	0.26%
Neurofibroma/Plexiform	36	0.26%
Atypical Teratoid Rhabdoid Tumor (ATRT)	35	0.25%
Cholangiocarcinoma	35	0.25%
Diffuse hemispheric glioma, H3 G35-mutant	35	0.25%
Ganglioglioma, BRAF V600E	34	0.25%
Medulloblastoma	34	0.25%
Low-grade glioma, other MAPK	32	0.23%
Dysplasia/Gliosis	29	0.21%
Ewing sarcoma	29	0.21%
Atypical Teratoid Rhabdoid Tumor, SHH	26	0.19%
Atypical Teratoid Rhabdoid Tumor, MYC	24	0.17%
Medulloblastoma, WNT-activated	24	0.17%
Pleomorphic xanthoastrocytoma	22	0.16%
Choroid plexus carcinoma	21	0.15%
Craniopharyngioma	21	0.15%
Ganglioglioma, wildtype	20	0.14%
