Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_7KR13R3P	0	0.11880959685633093	0	0.1004145941901643	0	0.23043442851488574	0	0.3546048855014162	0	0	0	0.16895882556992095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZV7AC5R8	0.7553153997855986	0	0	0.11313647107830163	0	0	0	0	0	0	0.061924748430195034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZSH09N84	0.14870581763354745	0	0.13428249140580292	0	0.16749540240413327	0	0	0.35963843153498376	0	0	0	0.08131721540309238	0.0706788380434063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z8GRJ71M	0.25328444871910094	0	0	0.24030164556656194	0	0.18378683090304399	0	0	0	0	0	0	0	0	0	0	0.1259249328293993	0	0	0	0	0	0	0	0.17176319436774598	0	0	0	0	0
BS_Z64NEPNE	0.1992117557273207	0	0.07735754276949723	0	0.38376379144030726	0	0	0	0	0	0	0	0	0	0	0.10964849653473803	0	0	0	0	0	0	0	0	0.06935551118158641	0	0	0	0	0
BS_Z61JVJ03	0.4456969206404905	0	0	0	0	0	0.1136284846680188	0	0	0	0	0	0	0	0.3433855149123368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z3AB3KMP	0.13100187606299324	0	0.17293608119667495	0	0.21497439420158848	0	0	0.2286789830071608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0881329645167605	0	0	0	0	0
BS_YZD4SSMA	0	0	0.18499680240360414	0	0.18901158092017284	0	0	0.138159439332827	0.16369422887494547	0	0	0.06091975880955696	0	0	0	0	0	0.15008676370539734	0	0	0	0	0	0	0	0	0	0	0	0
BS_YHXMYDBN	0.2022451697543949	0	0	0	0.21090143351241256	0	0	0.3195432564967641	0.1050907424294408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YGDHJ68W	0.8349377674624454	0.06498557977478268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08104759952720204	0	0	0	0	0	0	0	0	0	0
BS_Y96RP1HJ	0.1728886006566929	0	0.09356769528509115	0	0.2820976686488057	0	0	0.3029228450909981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y74XAFJX	0.13996249140557454	0	0.2664311987309341	0	0	0	0	0.3912017791504493	0	0	0	0.12689967262710095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y0DGBKTY	0	0	0	0	0	0.09518997495067708	0	0	0	0	0	0	0	0	0.758990463472283	0	0	0	0	0	0	0	0.14581956157703985	0	0	0	0	0	0	0
BS_XQF18WZP	0.16730264554875204	0	0.18162839430766198	0	0.2618376349386102	0	0	0.1282538927526025	0	0	0	0.12509074043092094	0	0	0	0	0	0	0	0.06263946558754606	0	0	0	0	0	0	0	0	0	0
BS_XPZAD9PP	0	0	0.16108930983277928	0	0	0.40790220155275325	0	0	0	0	0	0	0	0	0.1118593276485662	0	0	0	0	0	0	0	0	0.17142595583726342	0	0	0	0	0	0
BS_XNYQS1WG	0.1620180796093248	0	0.2804537131049124	0	0.20021544433008165	0	0	0	0	0	0	0.15641698967730774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XNYH7VK6	0.43192275718083617	0	0.11378084287645275	0	0.08796375219796523	0	0	0	0	0	0	0	0	0	0	0.12938600872456907	0	0	0.06275831825136892	0.08117198073911037	0	0	0	0	0	0	0	0	0	0
BS_XHRV3SAK	0.7774304883331442	0	0	0	0	0	0.0827742961167201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06368833337500879	0	0	0	0	0	0	0
BS_X8YB5G5J	0.18257261590431706	0	0.20643436359609532	0	0	0.23714103985330862	0	0	0	0	0	0	0	0.07296711355572938	0.09235586021003171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_X6H86RTA	0.13608001190958646	0	0.18489485659853497	0	0.11215596044662714	0.09756529882429393	0	0.2583718190302451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_X5VN0FW0	0.16131385431997147	0	0.15997996446311988	0	0.18264940120332346	0	0	0.3029458012685979	0.061814579893922396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_X1TRW9RH	0.23093233494412627	0	0	0.13589106877433113	0	0.21976181105926518	0	0	0	0.08577737747089903	0	0	0	0	0	0	0	0.13654961749676225	0	0	0	0	0	0.07171467237604165	0	0	0	0	0	0
