Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_JTNTWJMD	0.20847055965843708	0	0.09259686021323765	0	0.22144145427330433	0	0	0.2352123886959126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_A9Q65W4Q	0.12142680005145297	0	0.10323446592890122	0	0.21027896570969415	0	0	0.17956197245205713	0	0	0	0	0	0	0	0.24039747253304067	0	0	0	0	0	0	0	0	0	0.07497581108321197	0	0	0	0
BS_4Z3H3JP7	0	0.08371305310191977	0	0	0.3749161110628508	0.27654742996342896	0	0	0	0	0	0	0	0	0	0.08050111020667133	0	0.10866899111618367	0	0	0	0	0	0	0	0	0	0	0	0
BS_6RQTPACW	0.07237605101673028	0	0.5525254751478926	0	0	0.2100623957868681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06781114310912481	0	0	0	0
BS_F6VH35JY	0	0	0	0	0.2394099043825095	0.18926921798256297	0	0.11912010661796596	0	0	0	0	0	0	0.10561894588777382	0	0	0	0.1019378821776035	0	0	0	0	0	0	0	0	0	0.10806483801457324	0
BS_G2NSPNKD	0	0	0.4313965771463129	0	0	0.1580262868242361	0	0	0	0	0	0	0	0	0	0	0	0	0.1170285840342391	0	0	0	0	0.14344799467033992	0	0	0	0	0	0
BS_YW6RK7MJ	0	0	0.2970804058426991	0	0.13112487650458138	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09601472183471088	0.13041959331313155	0	0	0	0.08749728678605548	0	0	0	0	0	0
BS_J0MSENGZ	0	0	0.19288436956339944	0	0.3116528262340952	0.0690768275803998	0	0	0	0	0	0.12873770805720564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06736616226299073	0	0.144568864673537	0
BS_EVYV74CP	0	0	0.33183433573700966	0	0	0.07947749739445423	0	0	0	0	0	0	0	0	0.08918103365290254	0.1328538227146178	0	0	0	0.1845917208371293	0	0	0	0	0	0	0	0	0.06524132995051277	0
BS_02QV7ZWP	0.6480216307935711	0	0	0	0	0	0	0.3154536905332155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
